GID,price,discount,payment_CreditCard,payment_Arrival,payment_ConvenienceStore,payment_ATM,payment_iBon,preferential_count,reciprocal,img_height,img_tmp,img_brightness
3440198,688,712,1,1,0,1,1,0,1,5529,1,1
2513558,1130,20,1,0,0,1,1,0,1,3949,1,1
3840356,2396,1600,1,1,0,1,1,2,1,9839,0,1
4236356,1428,252,1,1,1,1,1,0,1,29172,1,1
3040084,990,660,1,1,0,1,1,0,1,3719,1,1
4328044,259,141,1,1,0,1,1,0,1,1000,0,1
3491741,698,902,1,1,0,1,1,0,1,1265,1,1
3829719,578,1402,1,1,1,1,1,0,1,6172,1,1
4301421,1280,1440,1,1,1,1,1,0,1,15467,1,1
4306165,799,281,1,1,1,1,1,0,1,4500,1,1
3723473,1480,1020,1,1,0,1,1,0,1,5903,1,1
3236816,300,99,1,1,1,1,1,1,1,2560,1,1
4069506,1328,352,1,1,1,1,1,2,1,3000,1,1
4398868,306,53,1,1,1,1,1,0,1,6725,1,0
